IND_ID,Strain_ID
IND1,HpGP-KGZ-007
IND2,HPJ071
IND3,HpGP-KOR-037
IND4,HpGP-CHI-126
IND5,HpGP-BRA-007
IND6,HpGP-BGD-005
IND7,Evenky65
IND8,HpGP-USA-005
IND9,HpGP-COG-002
IND10,HpGP-COL-308
IND11,HpGP-BGD-006
IND12,HpGP-GRE-041
IND13,HpGP-POL-008
IND14,HpGP-CAN-002
IND15,HpGP-SPA-709
IND16,HpGP-POR-009
IND17,HpGP-POR-107
IND18,HpGP-VNM-005
IND19,HpGP-VNM-008
IND20,Evenky11
IND21,NP05-278
IND22,HpGP-FRA-012
IND23,HpGP-BRA-010
IND24,HpGP-BGD-004
IND25,HpGP-JAP-019
IND26,HpGP-JOR-010
IND27,HpGP-USA-410
IND28,Nanai40
IND29,HpGP-COG-010
IND30,HpGP-LAT-007
IND31,HpGP-TWN-006
IND32,HpGP-CHN-008
IND33,HpGP-CRI-002
IND34,HpGP-USA-009
IND35,HpGP-LAT-019
IND36,Khanty47
IND37,HpGP-FRA-015
IND38,CAN-196
IND39,HN-G262
IND40,HpGP-CHI-002
IND41,Evenky58
IND42,HpGP-HON-006
IND43,HpGP-LAT-005
IND44,HpGP-VNM-009
IND45,Yangon173
IND46,HpGP-IND-002
IND47,HpGP-ITA-009
IND48,MM2005-72
IND49,HpGP-POL-108
IND50,Tuvac46
IND51,HpGP-GER-002
IND52,HpGP-TWN-010
IND53,HpGP-IRN-009
IND54,HpGP-ISL-009
IND55,HpGP-LIT-029
IND56,HpGP-PRI-008
IND57,HpGP-SPA-504
IND58,HpGP-SWT-007
IND59,HpGP-USA-302
IND60,HpGP-USA-311
IND61,GC31-B
IND62,HpGP-GHA-009
IND63,Ca-97-34
IND64,HpGP-POR-004
IND65,Shi112
IND66,Hui1764
IND67,22087
IND68,HpGP-IND-006
IND69,HpGP-PER-111
IND70,HpGP-COL-210
IND71,HpGP-HON-002
IND72,HpGP-BRA-022
IND73,HpGP-CHN-005
IND74,HpGP-KOR-016
IND75,HpGP-MAL-021
IND76,HpGP-PRI-006
IND77,HpGP-CHI-117
IND78,HpGP-COG-004
IND79,HpGP-LAT-002
IND80,GAM115Ai
IND81,HpGP-PRI-004
IND82,Neuguinea66
IND83,SA194C
IND84,GAM120Ai
IND85,HpGP-ARG-005
IND86,HpGP-CAN-026
IND87,HpGP-COL-122
IND88,HpGP-ISL-008
IND89,HpGP-KOR-116
IND90,HpGP-JAP-104
IND91,HpGP-SPA-105
IND92,SA30C
IND93,HpGP-SWE-022
IND94,HpGP-CAN-016
IND95,HpGP-KOR-046
IND96,GAM100Ai
IND97,HpGP-SWE-017
IND98,GC34-HL
IND99,HP14039
IND100,GAM245Ai
IND101,HpGP-SGP-024
IND102,HpGP-TUR-008
IND103,HpGP-KOR-007
IND104,HpGP-BGR-001
IND105,HpGP-SPA-015
IND106,HpGP-HON-012
IND107,HpGP-USA-402
IND108,HpGP-SGP-026
IND109,CAN-243
IND110,HpGP-SWE-016
IND111,HpGP-CHI-210
IND112,HpGP-PER-102
IND113,HpGP-COL-207
IND114,HpGP-LIT-023
IND115,HpGP-MAL-017
IND116,HpGP-MMR-012
IND117,HpGP-RUS-001
IND118,HpGP-HON-020
IND119,HpGP-IDN-007
IND120,HpGP-ISL-007
IND121,38185
IND122,HpGP-ARG-007
IND123,HpGP-CHI-028
IND124,HP11049
IND125,HpGP-USA-101
IND126,HpGP-USA-105
IND127,HPAS23
IND128,HpGP-GTM-007
IND129,HpGP-MEX-044
IND130,HpGP-PER-115
IND131,HpGP-SPA-801
IND132,HpGP-MMR-001
IND133,HpGP-TUR-006
IND134,HpGP-CHN-003
IND135,HpGP-RUS-003
IND136,HpGP-SWT-012
IND137,HpGP-GMB-004
IND138,HpGP-CHI-204
IND139,HpGP-HON-016
IND140,HpGP-GER-007
IND141,HpGP-IND-007
IND142,HpGP-CHI-122
IND143,HpGP-MEX-024
