ID_IND,ID_Strain,POP,DAPC
IND1,MG2005-98,hspSWEuropeLATAM,1
IND2,HpGP-USA-004,hspSWEuropeLATAM,1
IND3,HpGP-MEX-024,hspSWEuropeLATAM,1
IND4,HpGP-MEX-035,hspSWEuropeLATAM,1
IND5,HpGP-MEX-002,hspSWEuropeLATAM,1
IND6,HpGP-IDN-009,hspSWEuropeLATAM,1
IND7,MM2004-20,hspSWEuropeLATAM,1
IND8,HpGP-MEX-012,hspSWEuropeLATAM,1
IND9,HpGP-MEX-032,hspSWEuropeLATAM,1
IND10,HpGP-MEX-001,hspSWEuropeLATAM,1
IND11,HpGP-MEX-010,hspSWEuropeLATAM,1
IND12,HpGP-MEX-004,hspSWEuropeLATAM,1
IND13,HpGP-MEX-003,hspSWEuropeLATAM,1
IND14,HpGP-HON-027,hspSWEuropeLATAM,1
IND15,HpGP-HON-002,hspSWEuropeLATAM,1
IND16,HpGP-HON-001,hspSWEuropeLATAM,1
IND17,HpGP-USA-002,hspSWEuropeLATAM,1
IND18,HpGP-MEX-006,hspSWEuropeLATAM,1
IND19,HpGP-CRI-002,hspSWEuropeLATAM,1
IND20,HpGP-CRI-003,hspSWEuropeLATAM,1
IND21,HpGP-CRI-005,hspSWEuropeLATAM,1
IND22,HpGP-CRI-006,hspSWEuropeLATAM,1
IND23,HpGP-CRI-008,hspSWEuropeLATAM,1
IND24,HpGP-CRI-001,hspSWEuropeLATAM,1
IND25,HpGP-GTM-007,hspSWEuropeLATAM,1
IND26,HpGP-HON-026,hspSWEuropeLATAM,1
IND27,HpGP-GTM-004,hspSWEuropeLATAM,1
IND28,HpGP-HON-025,hspSWEuropeLATAM,1
IND29,HN-G266,hspSWEuropeLATAM,1
IND30,HN-G257,hspSWEuropeLATAM,1
IND31,HN-G274,hspSWEuropeLATAM,1
IND32,HpGP-HON-024,hspSWEuropeLATAM,1
IND33,HN-G262,hspSWEuropeLATAM,1
IND34,HpGP-HON-028,hspSWEuropeLATAM,1
IND35,HN-G260,hspSWEuropeLATAM,1
IND36,HpGP-HON-011,hspSWEuropeLATAM,1
IND37,HpGP-HON-005,hspSWEuropeLATAM,1
IND38,HpGP-HON-009,hspSWEuropeLATAM,1
IND39,HpGP-COL-307,hspSWEuropeLATAM,1
IND40,HpGP-COL-309,hspSWEuropeLATAM,1
IND41,HpGP-COL-308,hspSWEuropeLATAM,1
IND42,HpGP-SPA-405,hspSWEuropeLATAM,1
IND43,HpGP-COL-301,hspSWEuropeLATAM,1
IND44,HpGP-COL-204,hspSWEuropeLATAM,1
IND45,HpGP-CHI-212,hspSWEuropeLATAM,1
IND46,HpGP-PER-114,hspSWEuropeLATAM,1
IND47,HpGP-SPA-318,hspSWEuropeLATAM,1
IND48,HpGP-DOM-003,hspSWEuropeLATAM,1
IND49,HpGP-COL-110,hspSWEuropeLATAM,1
IND50,HpGP-USA-302,hspSWEuropeLATAM,1
IND51,HpGP-BRA-008,hspSWEuropeLATAM,1
IND52,HpGP-PER-102,hspSWEuropeLATAM,1
